rank,team_name,validation_f1_ideal,validation_f1_perturbed,robustness_gap
1,gpt5.4,0.8347826086956522,0.8347826086956522,0.0
2,Faran_Butt,0.6607142857142857,0.7989417989417988,-0.13822751322751314
3,llm_submission_codex,0.7989417989417988,0.7989417989417988,0.0
4,emmanuel_owusu,0.7194421657095981,0.7913725490196079,-0.07193038331000978
5,LLM_Claude_Opus_47,0.7194421657095981,0.7913725490196079,-0.07193038331000978
6,samuel_matia,0.7194421657095981,0.7301136363636364,-0.010671470654038284
7,Bijay_Adhikari,0.6570959803117309,0.7194421657095981,-0.06234618539786718
8,Sanae_Zrigui,0.7194421657095981,0.7194421657095981,0.0
9,TugaYousif,0.7076923076923077,0.6933235509904623,0.014368756701845453
10,Claude_opus_4_6,0.7076923076923077,0.6933235509904623,0.014368756701845453
11,Muhammad_Isah,0.6346153846153846,0.672156862745098,-0.037541478129713424
12,Gurur_Gamgam,0.6041666666666667,0.6607142857142857,-0.05654761904761896
13,LLM_Gemini_2.5_pro,0.7661538461538462,0.6570959803117309,0.1090578658421153
14,Vinit_Singroha,0.5594202898550724,0.6458781362007169,-0.08645784634564446
15,Hadil_AFFES,0.5928571428571429,0.6458781362007169,-0.05302099334357402
16,Llama3.370B,0.5928571428571429,0.6375641966250918,-0.04470705376794892
17,TasneemSelim,0.6458781362007169,0.6041666666666667,0.04171146953405014
18,Gemini-3-Flash,0.7317647058823529,0.5947497949138638,0.13701491096848906
19,Elhouiti_Ikram,0.6346153846153846,0.5529411764705883,0.08167420814479631
20,Nour_maj,0.6458781362007169,0.5523215523215523,0.09355658387916455
21,Sargam_Goyal,0.5818048422597212,0.5447498238195913,0.03705501844012993
22,DeepSeek-v4-pro,0.5438596491228069,0.3968253968253968,0.14703425229741013
23,Abderrahmane_Kasmi,0.6161616161616161,0.3968253968253968,0.21933621933621933
24,Kimi_K_2.6,0.7913725490196079,0.3968253968253968,0.39454715219421105
25,Maha_trabelsi,0.3968253968253968,0.2549019607843137,0.1419234360410831
26,Peguy,0.6346153846153846,0.2549019607843137,0.3797134238310709
